                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    117,                0.77329,                0.45952,                 1.1069,                0.99861,                      1,                  0.995,                0.87004,                0.61446,                0.32862,                0.95565,               0.006172,               0.006172,               0.006172
                    118,                0.81458,                0.50054,                 1.1427,                0.99857,                      1,                  0.995,                0.86147,                0.60154,                0.33068,                0.97177,               0.006139,               0.006139,               0.006139
                    119,                0.80676,                0.48938,                  1.137,                0.99863,                      1,                  0.995,                0.87322,                0.58553,                0.31975,                0.96276,               0.006106,               0.006106,               0.006106
                    120,                0.76231,                0.45706,                 1.1103,                0.99857,                      1,                  0.995,                0.87336,                0.57818,                  0.308,                0.95196,               0.006073,               0.006073,               0.006073
                    121,                0.71861,                0.43417,                 1.0935,                0.97789,                      1,                  0.995,                0.83041,                0.68506,                0.36506,                 1.0342,                0.00604,                0.00604,                0.00604
                    122,                0.76378,                0.46583,                 1.1208,                0.99877,                      1,                  0.995,                0.83165,                0.63651,                0.33784,                 1.0117,               0.006007,               0.006007,               0.006007
                    123,                0.76098,                0.45857,                 1.1306,                0.99893,                      1,                  0.995,                0.88405,                0.53636,                0.32218,                0.91713,               0.005974,               0.005974,               0.005974
                    124,                0.75344,                 0.4759,                 1.1034,                      1,                 0.9995,                  0.995,                0.88734,                0.56915,                0.32694,                0.94212,               0.005941,               0.005941,               0.005941
                    125,                0.74746,                0.46523,                 1.1068,                0.99869,                      1,                  0.995,                0.86099,                0.66031,                0.34215,                 1.0071,               0.005908,               0.005908,               0.005908
                    126,                0.75262,                0.45501,                 1.1221,                      1,                0.99955,                  0.995,                0.84834,                0.66034,                0.35168,                0.98882,               0.005875,               0.005875,               0.005875
                    127,                0.71843,                0.44464,                 1.0858,                0.99851,                      1,                  0.995,                0.86693,                0.60533,                0.35217,                0.92805,               0.005842,               0.005842,               0.005842
                    128,                0.73186,                0.45672,                 1.1167,                0.99896,                      1,                  0.995,                0.84084,                0.65691,                0.36886,                0.99661,               0.005809,               0.005809,               0.005809
                    129,                0.74338,                0.44984,                 1.1005,                0.99746,                      1,                  0.995,                0.84317,                0.66182,                0.37792,                 1.0019,               0.005776,               0.005776,               0.005776
                    130,                0.76327,                0.46769,                  1.127,                0.99848,                      1,                  0.995,                0.83923,                0.63358,                0.35484,                0.99109,               0.005743,               0.005743,               0.005743
                    131,                0.73824,                0.46837,                 1.0924,                0.99869,                      1,                  0.995,                 0.8256,                0.66346,                0.34382,                 1.0104,                0.00571,                0.00571,                0.00571
                    132,                0.71233,                0.45085,                 1.1081,                0.99873,                      1,                  0.995,                0.86046,                0.58943,                0.32055,                0.93605,               0.005677,               0.005677,               0.005677
                    133,                0.71624,                0.45287,                 1.0958,                0.99386,                      1,                  0.995,                0.79834,                0.69735,                0.39838,                0.99868,               0.005644,               0.005644,               0.005644
                    134,                0.69364,                0.43081,                 1.0627,                0.99712,                      1,                  0.995,                0.80115,                0.66483,                0.36619,                 1.0172,               0.005611,               0.005611,               0.005611
                    135,                0.72787,                0.42795,                 1.1054,                0.97821,                0.99774,                0.99413,                 0.8133,                0.66408,                0.39073,                 1.0521,               0.005578,               0.005578,               0.005578
                    136,                0.73409,                0.43817,                 1.0798,                0.99892,                      1,                  0.995,                0.83777,                0.65289,                0.34745,                 1.0189,               0.005545,               0.005545,               0.005545
                    137,                 0.7069,                0.41879,                 1.0698,                0.99847,                      1,                  0.995,                0.84109,                0.71089,                0.37744,                 1.0126,               0.005512,               0.005512,               0.005512
                    138,                0.73998,                0.43413,                 1.1243,                0.99932,                      1,                  0.995,                0.86532,                0.61029,                0.34379,                 0.9759,               0.005479,               0.005479,               0.005479
                    139,                0.70372,                0.43813,                 1.0911,                 0.9986,                      1,                  0.995,                0.86358,                0.69289,                0.36745,                0.99929,               0.005446,               0.005446,               0.005446
                    140,                0.70301,                0.44261,                 1.0964,                0.99812,                      1,                  0.995,                 0.8726,                0.61578,                0.33515,                0.96929,               0.005413,               0.005413,               0.005413
                    141,                0.72601,                0.45113,                 1.0945,                0.99786,                      1,                  0.995,                0.86678,                0.61157,                0.35272,                0.97153,                0.00538,                0.00538,                0.00538
                    142,                 0.6969,                0.42033,                 1.0811,                0.97553,                0.97778,                 0.9937,                0.85444,                0.65289,                0.39766,                 1.0108,               0.005347,               0.005347,               0.005347
                    143,                0.70115,                 0.4216,                 1.0833,                0.99863,                      1,                  0.995,                 0.8633,                0.63999,                0.36786,                0.98563,               0.005314,               0.005314,               0.005314
                    144,                0.69677,                0.43872,                 1.0677,                0.99863,                      1,                  0.995,                0.83243,                0.70603,                0.38574,                 1.0373,               0.005281,               0.005281,               0.005281
                    145,                0.71602,                0.43396,                 1.1145,                0.99865,                      1,                  0.995,                0.85722,                0.67873,                0.37019,                 1.0063,               0.005248,               0.005248,               0.005248
                    146,                0.68583,                0.43893,                 1.0801,                0.99901,                      1,                  0.995,                0.83364,                0.67868,                0.35055,                0.99328,               0.005215,               0.005215,               0.005215
                    147,                0.69089,                0.44215,                 1.0728,                0.99864,                      1,                  0.995,                0.86572,                0.63106,                 0.3085,                0.97619,               0.005182,               0.005182,               0.005182
                    148,                0.70004,                0.44135,                 1.0807,                0.99874,                      1,                  0.995,                0.89641,                0.56449,                 0.2961,                0.93372,               0.005149,               0.005149,               0.005149
                    149,                  0.703,                0.41751,                 1.0946,                0.99872,                      1,                  0.995,                0.90272,                0.57973,                0.31754,                0.92778,               0.005116,               0.005116,               0.005116
                    150,                0.65931,                0.40527,                 1.0573,                 0.9987,                      1,                  0.995,                0.85636,                0.64596,                0.34652,                0.97897,               0.005083,               0.005083,               0.005083
                    151,                0.68269,                0.40491,                 1.0765,                0.99864,                      1,                  0.995,                0.83802,                0.65729,                0.34033,                0.97805,                0.00505,                0.00505,                0.00505
                    152,                0.69472,                0.42106,                 1.0852,                0.99858,                      1,                  0.995,                 0.8528,                0.61676,                0.31372,                0.94057,               0.005017,               0.005017,               0.005017
                    153,                0.67211,                0.42087,                  1.051,                 0.9987,                      1,                  0.995,                0.85586,                  0.645,                0.31694,                 0.9636,               0.004984,               0.004984,               0.004984
                    154,                0.70165,                0.43878,                 1.0664,                0.99884,                      1,                  0.995,                0.88478,                0.58332,                0.33511,                0.95483,               0.004951,               0.004951,               0.004951
                    155,                0.71261,                0.44264,                 1.0718,                0.99866,                      1,                  0.995,                0.85744,                0.61268,                0.31757,                0.96342,               0.004918,               0.004918,               0.004918
                    156,                 0.7162,                0.44104,                 1.1045,                0.99875,                      1,                  0.995,                0.88564,                0.61424,                0.32338,                0.95242,               0.004885,               0.004885,               0.004885
                    157,                0.67994,                0.43726,                 1.0845,                 0.9987,                      1,                  0.995,                0.88534,                0.58359,                0.33278,                0.96494,               0.004852,               0.004852,               0.004852
                    158,                 0.6614,                0.40776,                 1.0649,                0.99872,                      1,                  0.995,                0.85217,                0.64675,                0.36152,                 1.0037,               0.004819,               0.004819,               0.004819
                    159,                0.62468,                0.37613,                 1.0463,                0.99812,                      1,                  0.995,                0.84748,                0.67041,                0.37254,                 1.0179,               0.004786,               0.004786,               0.004786
                    160,                0.65657,                 0.4235,                 1.0689,                0.99801,                      1,                  0.995,                0.86236,                0.56456,                 0.3307,                0.94277,               0.004753,               0.004753,               0.004753
